COD_EMPRESA;NOME_EMPRESA;COD_TAB_PRECO;NOME_TAB_PRECO;DT_VIGOR;PRECO;TIPO;COD_PRODUTO;DESCRICAO;MARCA;COD_FORNECEDOR;NOME_FORNECEDOR;COD_ITEM_NBS;PARTNUMBER;MARGEM;DESP_VARIAVEL;TIPO_PRECIFICACAO;NIVEL_MARGEM;GRUPO_DESCONTO;ESTOQUE;CUSTO_MEDIO;VALOR_ESTOQUE;CUSTO_OPE;PIS_COFINS;ICMS
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;1327,18;Valor;30561;RESFRIADOR OLEO MOTOR MWM TD229 0030561;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2SB115423.0;922909400205E;;;Não Atualiza Preço na Entrada;;MWM1;1;679,37;679,37;679,37;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;2303,88;Valor;21772;RESFRIADOR OLEO 0021772;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;021871564.0;7003656C1E;;;Não Atualiza Preço na Entrada;;MWM1;1;864,01;864,01;864,01;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;81,31;Valor;1559;RETENTOR DT ARVORE MANIVELAS MOTOR MAXXFORCE 0001559;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;021763485.0;7002801C1E;;;Não Atualiza Preço na Entrada;;MWM1;8;40,635;325,08;40,635;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;56,17;Valor;23992;RETENTOR DT MOTOR MWM SPRINT 0023992;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;062115147.0;940788560024;;;Não Atualiza Preço na Entrada;;MWM1;9;25,8549;232,6941;25,6568;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;36,47;Valor;3108;REPARO BOMBA ALIMENTADORA 0003108;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;04099925.0;922500190607E;;;Não Atualiza Preço na Entrada;;MWM1;5;14,4329;72,1645;14,4329;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;9,37;Valor;2842;RETENTOR VALVULA  MOTOR MWM NGD9.3E 370CV 0002842;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2U2109675A.0;1889589C1E;;;Não Atualiza Preço na Entrada;;MWM3;35;5,2474;183,659;5,2474;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;109,06;Valor;3790;RETENTOR TOMADA FORCA TRASEIRA MOTOR MWM X12TCE 0003790;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2U0145347.0;904960640501E;;;Não Atualiza Preço na Entrada;;MWM1;4;54,2;216,8;54,2;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;11,47;Valor;2123;RETENTOR VALVULA MOTOR MWM MAXXFORCE 0002123;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;021748916.0;7001594C1E;;;Não Atualiza Preço na Entrada;;MWM1;19;3,5568;67,5792;3,5568;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;8,61;Valor;2019;RETENTOR VALVULA MOTOR MWM SPRINT 0002019;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;062109675.0;904960640069E;;;Não Atualiza Preço na Entrada;;MWM1;96;3,9509;379,2864;3,931;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;9,64;Valor;56835;RETENTOR VALVULA MOTOR MWM X10/X12 / D/TD229 0056835;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RH103417.1;922988560054;;;;;;315;4,7983;1511,4645;4,7983;;
